"GENERIC","SAMPLEID","MISSION","STATION","LANDMARK","BAGNUMBER","ORIGINALWEIGHT","SAMPLETYPE","SAMPLESUBTYPE","PRISTINITY","PRISTINITYDATE","HASTHINSECTION","HASDISPLAYSAMPLE","DISPLAYSAMPLENUMBER","GENERICDESCRIPTION"
"60001","416","Apollo 16","LM",,,"30.100","Core","unsieved","45.488","November, 13 2013 00:00:00",true,,,
"60002","417","Apollo 16","LM",,,"211.800","Core","unsieved","74.021","November, 13 2013 00:00:00",true,,,
"60003","418","Apollo 16","LM",,,"215.900","Core","unsieved","74.876","November, 13 2013 00:00:00",true,,,
"60004","419","Apollo 16","LM",,,"202.700","Core","unsieved","72.856","November, 13 2013 00:00:00",true,,,
"60005","420","Apollo 16","LM",,,"77.300","Core","unsieved","95.962","March, 30 2012 00:00:00",false,,,
"60006","421","Apollo 16","LM",,,"165.600","Core","unsieved","77.328","November, 13 2013 00:00:00",true,,,
"60007","422","Apollo 16","LM",,,"105.700","Core","unsieved","57.229","December, 04 2014 00:00:00",true,,,
"60009","423","Apollo 16","LM",,,"759.800","Core","unsieved","78.297","December, 04 2014 00:00:00",true,,,
"60010","424","Apollo 16","LM",,,"635.300","Core","unsieved","78.275","December, 04 2014 00:00:00",true,,,
"60013","425","Apollo 16","LM",,,"757.300","Core","unsieved","76.253","September, 26 2013 00:00:00",true,,,
"60014","426","Apollo 16","LM",,,"570.300","Core","unsieved","74.816","September, 25 2014 00:00:00",true,,,
"60015","427","Apollo 16","10",,,"5574.000","Breccia","Anorthosite","58.660","March, 09 2015 00:00:00",true,true,"60015,179; 60015,87; 60015,177; 60015,86","Pristine cataclastic anorthosite (G)"
"60016","428","Apollo 16","10",,,"4307.000","Breccia","Fragmental","49.565","December, 04 2014 00:00:00",true,true,,"polymict"
"60017","429","Apollo 16","13","SHADOW ROCK",,"2102.000","Breccia","Impact Melt","95.588","November, 26 2014 00:00:00",true,,,"Variolitic"
"60018","430","Apollo 16","10",,,"1501.000","Breccia","Impact Melt","95.442","September, 03 2014 00:00:00",true,,,"Basaltic"
"60019","431","Apollo 16","10",,,"1887.000","Breccia","Regolith","96.480","March, 04 2015 00:00:00",true,,,"Glassy"
"60020",,"Apollo 16",,,,"51.910","Residue",,"88.310","August, 15 2007 00:00:00",false,,,
"60025","432","Apollo 16","10",,,"1836.000","Breccia","Anorthosite","43.614","March, 11 2015 00:00:00",true,true,"60025,821; 60025,53; 60025,54; 60025,126","Pristine cataclastic anorthosite (G)"
"60030",,"Apollo 16",,,,"79.260","Residue",,"86.900","August, 15 2007 00:00:00",false,,,
"60035","433","Apollo 16","10",,,"1052.000","Breccia","Fragmental","97.688","April, 02 2014 00:00:00",true,,,"Polymict granoblastic"
"60040",,"Apollo 16",,,,"12.120","Residue",,"100.000","August, 15 2007 00:00:00",false,,,
"60050","434","Apollo 16","10",,,"0.000","Soil","Unsieved","100.000","August, 15 2007 00:00:00",false,,,
"60051",,"Apollo 16",,,,"195.300","Soil","<1 mm","89.254","August, 08 2014 00:00:00",true,,,"Fines, < 1mm"
"60052",,"Apollo 16",,,,"11.430","Soil","1-2 mm","91.251","March, 30 2012 00:00:00",true,,,"Fines, 1-2mm"
"60053",,"Apollo 16",,,,"7.410","Soil","2-4 mm","91.161","December, 04 2013 00:00:00",false,,,"Fines, 2-4mm"
"60054","435","Apollo 16",,,,"8.400","Soil","4-10mm","97.260","August, 15 2007 00:00:00",false,,,
"60055","436","Apollo 16","10",,,"35.480","Breccia","Anorthosite","95.896","March, 05 2014 00:00:00",true,,,"Pristine cataclastic anorthosite"
"60056","437","Apollo 16","10",,,"16.070","Breccia","Anorthosite","95.744","March, 30 2012 00:00:00",true,,,"Cataclastic anorthosite (G)"
"60057",,"Apollo 16","10",,,"3.100","Crustal","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60058",,"Apollo 16","10",,,"2.120","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"Fragmental polymict breccia"
"60059",,"Apollo 16","10",,,"1.050","Crustal","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60070",,"Apollo 16",,,,"79.830","Residue",,"99.340","August, 15 2007 00:00:00",false,,,
"60075","438","Apollo 16","10",,,"183.800","Breccia","Fragmental ","96.163","August, 28 2012 00:00:00",true,,,"polymict"
"60090",,"Apollo 16",,,,"0.100","Residue",,"0.000","August, 15 2007 00:00:00",false,,,
"60095","439","Apollo 16","10",,,"46.600","Breccia","Glass","91.291","November, 13 2013 00:00:00",true,,,"Glass"
"60110",,"Apollo 16",,,,"2.080","Residue",,"66.350","August, 15 2007 00:00:00",false,,,
"60115","440","Apollo 16","10",,,"132.500","Breccia","Impact Melt","96.955","June, 24 2013 00:00:00",true,,,"clast rich, glassy matrix"
"60130",,"Apollo 16",,,,"1.070","Residue",,"74.390","August, 15 2007 00:00:00",false,,,
"60135","441","Apollo 16","10",,,"137.700","Breccia","Anorthosite","94.713","November, 06 2012 00:00:00",true,,,"Cataclastic anorthosite (G)"
"60210",,"Apollo 16",,,,"12.780","Residue",,"89.980","August, 15 2007 00:00:00",false,,,
"60215","442","Apollo 16","10",,,"385.800","Breccia","Anorthosite","95.089","February, 03 2015 00:00:00",true,,,"Pristine cataclastic anorthosite (G)"
"60230",,"Apollo 16",,,,"39.610","Residue",,"99.290","August, 15 2007 00:00:00",false,,,
"60235","443","Apollo 16","10",,,"70.130","Breccia","Impact Melt","94.602","September, 26 2013 00:00:00",true,,,"Basaltic"
"60250",,"Apollo 16",,,,"18.310","Residue",,"82.690","August, 15 2007 00:00:00",false,,,
"60255","444","Apollo 16","10",,,"871.000","Breccia","Regolith","92.908","March, 06 2015 00:00:00",true,,,
"60270",,"Apollo 16",,,,"37.260","Residue",,"90.450","August, 15 2007 00:00:00",false,,,
"60275","446","Apollo 16","10",,,"255.200","Breccia","Regolith","94.439","November, 13 2013 00:00:00",true,,,"Glassy"
"60310",,"Apollo 16",,,,"2.020","Residue",,"77.720","August, 15 2007 00:00:00",false,,,
"60315","447","Apollo 16","10",,,"787.700","Breccia","Impact Melt","89.273","January, 21 2015 00:00:00",true,,,"Poikilitic"
"60330",,"Apollo 16",,,,"2.510","Residue",,"52.990","August, 15 2007 00:00:00",false,,,
"60335","448","Apollo 16","10",,,"317.800","Breccia","Impact Melt","85.476","September, 19 2014 00:00:00",true,,,"Basaltic"
"60500",,"Apollo 16","10",,,"234.400","Soil","Unsieved","99.258","March, 10 2015 00:00:00",false,,,"Fines, Unsieved"
"60501",,"Apollo 16",,,,"433.800","Soil","<1 mm","87.889","February, 04 2014 00:00:00",true,,,"Fines, < 1mm"
"60502",,"Apollo 16",,,,"17.690","Soil","1-2 mm","89.695","March, 30 2012 00:00:00",true,,,"Fines, 1-2mm"
"60503",,"Apollo 16",,,,"9.940","Soil","2-4 mm","73.139","December, 04 2013 00:00:00",true,,,"Fines, 2-4mm"
"60504","449","Apollo 16",,,,"6.630","Soil","4-10mm","93.820","August, 15 2007 00:00:00",false,,,
"60510",,"Apollo 16",,,,"7.670","Residue",,"79.270","August, 15 2007 00:00:00",false,,,
"60515","450","Apollo 16","10",,,"16.740","Breccia","Anorthosite","98.244","March, 30 2012 00:00:00",true,,,"Cataclastic anorthosite"
"60516","451","Apollo 16","10",,,"7.910","Breccia","Anorthosite","97.219","March, 30 2012 00:00:00",true,,,"Cataclastic anorthosite"
"60517","452","Apollo 16","10",,,"1.230","Breccia","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60518","453","Apollo 16","10",,,"1.120","Breccia","Anorthosite","78.304","November, 06 2012 00:00:00",true,,,"Cataclastic anorthosite"
"60519","454","Apollo 16","10",,,"0.500","Breccia","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite"
"60525","455","Apollo 16","10",,,"12.840","Breccia","Impact Melt","91.262","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60526","456","Apollo 16","10",,,"8.420","Breccia","Impact Melt","84.276","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60527","457","Apollo 16","10",,,"7.360","Breccia","Impact Melt","98.234","February, 25 2011 00:00:00",true,,,"Crystalline polymict glass (G)"
"60528","458","Apollo 16","10",,,"2.940","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"60529","459","Apollo 16","10",,,"1.240","Breccia","Impact Melt","84.677","March, 30 2012 00:00:00",true,,,"Basaltic"
"60535","460","Apollo 16","10",,,"7.230","Breccia","Fragmental","89.959","April, 03 2013 00:00:00",true,,,"polymict"
"60600",,"Apollo 16","10",,,"182.600","Soil","Unsieved","99.195","March, 30 2012 00:00:00",false,,,"Fines, Unsieved"
"60601",,"Apollo 16",,,,"330.200","Soil","<1 mm","56.742","February, 04 2015 00:00:00",true,,,"Fines, < 1mm"
"60602",,"Apollo 16",,,,"14.930","Soil","1-2 mm","86.283","December, 04 2013 00:00:00",false,,,"Fines, 1-2mm"
"60603",,"Apollo 16",,,,"8.570","Soil","2-4 mm","84.854","March, 30 2012 00:00:00",false,,,"Fines, 2-4mm"
"60604","461","Apollo 16",,,,"3.940","Soil","4-10mm","100.000","August, 15 2007 00:00:00",false,,,
"60610",,"Apollo 16",,,,"34.740","Residue",,"75.500","August, 15 2007 00:00:00",false,,,
"60615","462","Apollo 16","10",,,"32.970","Breccia","Impact Melt","92.126","September, 25 2013 00:00:00",true,,,"Basaltic"
"60616","463","Apollo 16","10",,,"3.400","Breccia","Impact Melt","84.941","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60617","464","Apollo 16","10",,,"2.770","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Crystalline"
"60618","465","Apollo 16","10",,,"21.670","Breccia","Impact Melt","92.358","September, 19 2014 00:00:00",true,,,"Basaltic /anorthosite"
"60619","466","Apollo 16","10",,,"28.000","Crustal","Anorthosite","90.754","July, 15 2013 00:00:00",true,,,"Granoblastic anorthosite (G)"
"60625","467","Apollo 16","10",,,"117.000","Breccia","Impact Melt","93.263","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60626","468","Apollo 16","10",,,"15.870","Breccia","Impact Melt","87.372","March, 30 2012 00:00:00",true,,,"Poikilitic"
"60627","469","Apollo 16","10",,,"12.090","Breccia","Impact Melt","97.340","August, 15 2007 00:00:00",false,,,"Crystalline"
"60628","470","Apollo 16","10",,,"6.860","Breccia","Anorthosite","100.000","August, 15 2007 00:00:00",false,,,"Cataclastic anorthosite (G)"
"60629","471","Apollo 16","10",,,"4.920","Breccia","Anorthosite","92.683","July, 15 2013 00:00:00",true,,,"Cataclastic anorthosite (G)"
"60635","472","Apollo 16","10",,,"15.050","Breccia","Impact Melt","67.176","November, 18 2013 00:00:00",true,,,"Basaltic"
"60636","473","Apollo 16","10",,,"35.650","Breccia","Impact Melt","87.459","March, 30 2012 00:00:00",true,,,"Basaltic/poikilitic"
"60637","474","Apollo 16","10",,,"7.980","Breccia","Fragmental","91.228","April, 03 2013 00:00:00",true,,,"polymict"
"60638","475","Apollo 16","10",,,"0.720","Breccia","Fragmental","100.000","August, 15 2007 00:00:00",false,,,"polymict"
"60639","476","Apollo 16","10",,,"175.100","Breccia","Fragmental","97.171","October, 29 2014 00:00:00",true,,,"polymict"
"60645","477","Apollo 16","10",,,"33.500","Breccia","Impact Melt","97.666","March, 30 2012 00:00:00",true,,,"Fine-grained"
"60646","478","Apollo 16","10",,,"3.390","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Fine-grained"
"60647","479","Apollo 16","10",,,"1.760","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"Glassy"
"60648","480","Apollo 16","10",,,"2.840","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"clast rich, Glassy"
"60649","481","Apollo 16","10",,,"1.030","Breccia","Impact Melt","100.000","August, 15 2007 00:00:00",false,,,"clast rich, Glassy"
"60655","482","Apollo 16","10",,,"8.630","Breccia","Impact Melt","97.335","February, 22 2011 00:00:00",true,,,"Glassy"
